    48    0.13395E+04    0.99521E-01    0.00000E+00    0.72725E+00    0.12811E-06    0.88072E-03   -0.17603E-06
    49    0.13589E+04    0.10627E+00    0.00000E+00    0.56637E+00    0.12758E-06    0.86200E-03   -0.28889E-06
    50    0.13787E+04    0.11325E+00    0.00000E+00    0.39897E+00    0.12703E-06    0.84357E-03   -0.38418E-06
    51    0.13987E+04    0.12044E+00    0.00000E+00    0.22151E+00    0.12646E-06    0.82535E-03   -0.44661E-06
    52    0.14190E+04    0.12791E+00    0.00000E+00    0.28754E-01    0.12588E-06    0.80745E-03   -0.47781E-06
    53    0.14394E+04    0.13581E+00    0.00000E+00   -0.18309E+00    0.12529E-06    0.79002E-03   -0.48369E-06
    54    0.14597E+04    0.14413E+00    0.00000E+00   -0.40985E+00    0.12469E-06    0.77324E-03   -0.47010E-06
    55    0.14801E+04    0.15283E+00    0.00000E+00   -0.64725E+00    0.12408E-06    0.75726E-03   -0.44290E-06
    56    0.15009E+04    0.16179E+00    0.00000E+00   -0.89708E+00    0.12345E-06    0.74219E-03   -0.40722E-06
    57    0.15220E+04    0.17088E+00    0.00000E+00   -0.11592E+01    0.12282E-06    0.72792E-03   -0.36544E-06
    58    0.15433E+04    0.18012E+00    0.00000E+00   -0.14341E+01    0.12218E-06    0.71429E-03   -0.31922E-06
    59    0.15649E+04    0.18955E+00    0.00000E+00   -0.17224E+01    0.12152E-06    0.70115E-03   -0.27022E-06
    60    0.15865E+04    0.19922E+00    0.00000E+00   -0.20233E+01    0.12087E-06    0.68833E-03   -0.22010E-06
    61    0.16087E+04    0.20924E+00    0.00000E+00   -0.23359E+01    0.12020E-06    0.67571E-03   -0.17059E-06
    62    0.16307E+04    0.21959E+00    0.00000E+00   -0.26610E+01    0.11953E-06    0.66322E-03   -0.12362E-06
    63    0.16529E+04    0.23023E+00    0.00000E+00   -0.29998E+01    0.11885E-06    0.65086E-03   -0.81216E-07
    64    0.16754E+04    0.24116E+00    0.00000E+00   -0.33535E+01    0.11817E-06    0.63860E-03   -0.45373E-07
