#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14999E+04    0.15812E+00    0.91435E-02   -0.78324E+00    0.12985E-06    0.77126E-03   -0.74082E-06
    55    0.15190E+04    0.16731E+00    0.93326E-02   -0.10293E+01    0.12927E-06    0.75662E-03   -0.72309E-06
    56    0.15384E+04    0.17675E+00    0.95176E-02   -0.12876E+01    0.12867E-06    0.74285E-03   -0.68719E-06
    57    0.15581E+04    0.18633E+00    0.96983E-02   -0.15579E+01    0.12807E-06    0.72983E-03   -0.63922E-06
    58    0.15780E+04    0.19606E+00    0.98745E-02   -0.18408E+01    0.12746E-06    0.71740E-03   -0.58613E-06
    59    0.15981E+04    0.20599E+00    0.10046E-01   -0.21368E+01    0.12683E-06    0.70538E-03   -0.53488E-06
    60    0.16184E+04    0.21616E+00    0.10212E-01   -0.24452E+01    0.12620E-06    0.69362E-03   -0.49239E-06
    61    0.16391E+04    0.22668E+00    0.10374E-01   -0.27649E+01    0.12556E-06    0.68197E-03   -0.46406E-06
    62    0.16597E+04    0.23752E+00    0.10530E-01   -0.30969E+01    0.12491E-06    0.67042E-03   -0.44928E-06
    63    0.16803E+04    0.24865E+00    0.10681E-01   -0.34421E+01    0.12426E-06    0.65898E-03   -0.44593E-06
    64    0.17014E+04    0.26008E+00    0.10826E-01   -0.38018E+01    0.12360E-06    0.64764E-03   -0.45190E-06
    65    0.17225E+04    0.27177E+00    0.10967E-01   -0.41766E+01    0.12294E-06    0.63643E-03   -0.46505E-06
    66    0.17440E+04    0.28367E+00    0.11101E-01   -0.45646E+01    0.12227E-06    0.62537E-03   -0.48356E-06
    67    0.17656E+04    0.29577E+00    0.11230E-01   -0.49632E+01    0.12160E-06    0.61451E-03   -0.50665E-06
    68    0.17876E+04    0.30811E+00    0.11353E-01   -0.53706E+01    0.12093E-06    0.60395E-03   -0.53385E-06
    69    0.18098E+04    0.32066E+00    0.11470E-01   -0.57853E+01    0.12025E-06    0.59377E-03   -0.56464E-06
    70    0.18323E+04    0.33344E+00    0.11581E-01   -0.62088E+01    0.11957E-06    0.58405E-03   -0.59854E-06
    71    0.18549E+04    0.34646E+00    0.11686E-01   -0.66437E+01    0.11890E-06    0.57484E-03   -0.63440E-06
    72    0.18777E+04    0.35967E+00    0.11784E-01   -0.70913E+01    0.11822E-06    0.56609E-03   -0.66842E-06
    73    0.19007E+04    0.37305E+00    0.11877E-01   -0.75523E+01    0.11754E-06    0.55773E-03   -0.69615E-06
    74    0.19238E+04    0.38660E+00    0.11963E-01   -0.80257E+01    0.11686E-06    0.54966E-03   -0.71312E-06
    75    0.19473E+04    0.40030E+00    0.12044E-01   -0.85101E+01    0.11617E-06    0.54180E-03   -0.71491E-06
    76    0.19710E+04    0.41418E+00    0.12118E-01   -0.90049E+01    0.11549E-06    0.53409E-03   -0.69913E-06
    77    0.19951E+04    0.42821E+00    0.12186E-01   -0.95097E+01    0.11481E-06    0.52649E-03   -0.67172E-06
    78    0.20196E+04    0.44243E+00    0.12248E-01   -0.10026E+02    0.11412E-06    0.51899E-03   -0.64064E-06
    79    0.20442E+04    0.45678E+00    0.12303E-01   -0.10550E+02    0.11344E-06    0.51155E-03   -0.61389E-06
    80    0.20691E+04    0.47126E+00    0.12353E-01   -0.11082E+02    0.11275E-06    0.50417E-03   -0.59942E-06
    81    0.20942E+04    0.48581E+00    0.12396E-01   -0.11624E+02    0.11207E-06    0.49683E-03   -0.60317E-06
    82    0.21196E+04    0.50047E+00    0.12433E-01   -0.12175E+02    0.11139E-06    0.48956E-03   -0.62301E-06
    83    0.21452E+04    0.51521E+00    0.12464E-01   -0.12733E+02    0.11071E-06    0.48240E-03   -0.65476E-06
    84    0.21710E+04    0.53001E+00    0.12489E-01   -0.13297E+02    0.11003E-06    0.47539E-03   -0.69427E-06
    85    0.21970E+04    0.54486E+00    0.12508E-01   -0.13869E+02    0.10936E-06    0.46856E-03   -0.73739E-06
    86    0.22231E+04    0.55978E+00    0.12520E-01   -0.14447E+02    0.10869E-06    0.46195E-03   -0.78041E-06
    87    0.22497E+04    0.57472E+00    0.12527E-01   -0.15030E+02    0.10801E-06    0.45554E-03   -0.82156E-06
