#    L    TT             EE             BB             TE             PP             TP             EP          
   524    0.24817E+04    0.62525E+01    0.71770E-03   -0.25596E+02    0.16313E-07    0.31906E-05    0.35856E-06
   525    0.24834E+04    0.62656E+01    0.71716E-03   -0.24324E+02    0.16264E-07    0.31832E-05    0.34207E-06
   526    0.24850E+04    0.62837E+01    0.71669E-03   -0.23050E+02    0.16215E-07    0.31772E-05    0.32567E-06
   527    0.24864E+04    0.63068E+01    0.71628E-03   -0.21775E+02    0.16167E-07    0.31724E-05    0.30937E-06
   528    0.24875E+04    0.63349E+01    0.71592E-03   -0.20500E+02    0.16118E-07    0.31690E-05    0.29315E-06
   529    0.24884E+04    0.63683E+01    0.71561E-03   -0.19224E+02    0.16070E-07    0.31669E-05    0.27702E-06
   530    0.24890E+04    0.64067E+01    0.71534E-03   -0.17951E+02    0.16022E-07    0.31660E-05    0.26097E-06
   531    0.24896E+04    0.64500E+01    0.71512E-03   -0.16678E+02    0.15974E-07    0.31663E-05    0.24500E-06
   532    0.24898E+04    0.64986E+01    0.71493E-03   -0.15409E+02    0.15926E-07    0.31679E-05    0.22910E-06
   533    0.24897E+04    0.65523E+01    0.71477E-03   -0.14143E+02    0.15879E-07    0.31707E-05    0.21328E-06
   534    0.24894E+04    0.66112E+01    0.71464E-03   -0.12881E+02    0.15832E-07    0.31747E-05    0.19752E-06
   535    0.24889E+04    0.66753E+01    0.71452E-03   -0.11624E+02    0.15785E-07    0.31799E-05    0.18183E-06
   536    0.24882E+04    0.67444E+01    0.71443E-03   -0.10372E+02    0.15738E-07    0.31862E-05    0.16621E-06
   537    0.24873E+04    0.68186E+01    0.71434E-03   -0.91265E+01    0.15691E-07    0.31937E-05    0.15064E-06
   538    0.24861E+04    0.68982E+01    0.71426E-03   -0.78882E+01    0.15645E-07    0.32023E-05    0.13513E-06
   539    0.24847E+04    0.69826E+01    0.71418E-03   -0.66579E+01    0.15598E-07    0.32121E-05    0.11967E-06
   540    0.24831E+04    0.70725E+01    0.71410E-03   -0.54363E+01    0.15552E-07    0.32230E-05    0.10427E-06
   541    0.24813E+04    0.71673E+01    0.71402E-03   -0.42233E+01    0.15507E-07    0.32349E-05    0.88912E-07
   542    0.24792E+04    0.72673E+01    0.71392E-03   -0.30213E+01    0.15461E-07    0.32479E-05    0.73599E-07
   543    0.24769E+04    0.73724E+01    0.71380E-03   -0.18298E+01    0.15415E-07    0.32620E-05    0.58328E-07
   544    0.24745E+04    0.74827E+01    0.71366E-03   -0.64970E+00    0.15370E-07    0.32771E-05    0.43096E-07
   545    0.24718E+04    0.75980E+01    0.71349E-03    0.51836E+00    0.15325E-07    0.32933E-05    0.27898E-07
   546    0.24689E+04    0.77181E+01    0.71329E-03    0.16733E+01    0.15280E-07    0.33105E-05    0.12734E-07
   547    0.24658E+04    0.78432E+01    0.71306E-03    0.28149E+01    0.15235E-07    0.33286E-05   -0.24016E-08
   548    0.24625E+04    0.79734E+01    0.71278E-03    0.39421E+01    0.15191E-07    0.33478E-05   -0.17511E-07
   549    0.24590E+04    0.81085E+01    0.71246E-03    0.50542E+01    0.15146E-07    0.33679E-05   -0.32596E-07
   550    0.24553E+04    0.82487E+01    0.71209E-03    0.61506E+01    0.15102E-07    0.33890E-05   -0.47662E-07
   551    0.24514E+04    0.83938E+01    0.71166E-03    0.72306E+01    0.15058E-07    0.34110E-05   -0.62710E-07
   552    0.24473E+04    0.85440E+01    0.71118E-03    0.82934E+01    0.15014E-07    0.34339E-05   -0.77738E-07
   553    0.24430E+04    0.86976E+01    0.71064E-03    0.93387E+01    0.14970E-07    0.34577E-05   -0.92745E-07
   554    0.24386E+04    0.88577E+01    0.71005E-03    0.10366E+02    0.14927E-07    0.34825E-05   -0.10773E-06
   555    0.24339E+04    0.90220E+01    0.70940E-03    0.11374E+02    0.14884E-07    0.35081E-05   -0.12268E-06
   556    0.24290E+04    0.91913E+01    0.70870E-03    0.12363E+02    0.14840E-07    0.35346E-05   -0.13761E-06
   557    0.24240E+04    0.93648E+01    0.70794E-03    0.13331E+02    0.14797E-07    0.35620E-05   -0.15251E-06
   558    0.24187E+04    0.95439E+01    0.70713E-03    0.14279E+02    0.14755E-07    0.35902E-05   -0.16738E-06
   559    0.24133E+04    0.97265E+01    0.70627E-03    0.15206E+02    0.14712E-07    0.36192E-05   -0.18221E-06
   560    0.24078E+04    0.99133E+01    0.70535E-03    0.16111E+02    0.14670E-07    0.36491E-05   -0.19700E-06
   561    0.24019E+04    0.10105E+02    0.70438E-03    0.16994E+02    0.14627E-07    0.36798E-05   -0.21176E-06
   562    0.23961E+04    0.10302E+02    0.70336E-03    0.17853E+02    0.14585E-07    0.37113E-05   -0.22647E-06
   563    0.23900E+04    0.10502E+02    0.70228E-03    0.18692E+02    0.14543E-07    0.37436E-05   -0.24114E-06
   564    0.23839E+04    0.10707E+02    0.70115E-03    0.19504E+02    0.14502E-07    0.37766E-05   -0.25576E-06
   565    0.23775E+04    0.10915E+02    0.69997E-03    0.20293E+02    0.14460E-07    0.38105E-05   -0.27034E-06
   566    0.23710E+04    0.11129E+02    0.69874E-03    0.21057E+02    0.14419E-07    0.38451E-05   -0.28487E-06
   567    0.23643E+04    0.11345E+02    0.69746E-03    0.21796E+02    0.14377E-07    0.38804E-05   -0.29934E-06
   568    0.23575E+04    0.11567E+02    0.69612E-03    0.22509E+02    0.14336E-07    0.39165E-05   -0.31376E-06
   569    0.23505E+04    0.11792E+02    0.69473E-03    0.23198E+02    0.14295E-07    0.39533E-05   -0.32812E-06
   570    0.23435E+04    0.12021E+02    0.69330E-03    0.23858E+02    0.14255E-07    0.39908E-05   -0.34242E-06
   571    0.23362E+04    0.12254E+02    0.69181E-03    0.24491E+02    0.14214E-07    0.40290E-05   -0.35666E-06
   572    0.23289E+04    0.12490E+02    0.69027E-03    0.25097E+02    0.14174E-07    0.40678E-05   -0.37084E-06
   573    0.23214E+04    0.12730E+02    0.68868E-03    0.25675E+02    0.14134E-07    0.41074E-05   -0.38495E-06
   574    0.23139E+04    0.12974E+02    0.68703E-03    0.26225E+02    0.14093E-07    0.41476E-05   -0.39900E-06
   575    0.23062E+04    0.13220E+02    0.68534E-03    0.26745E+02    0.14054E-07    0.41884E-05   -0.41297E-06
   576    0.22984E+04    0.13470E+02    0.68360E-03    0.27238E+02    0.14014E-07    0.42299E-05   -0.42687E-06
   577    0.22904E+04    0.13724E+02    0.68181E-03    0.27702E+02    0.13974E-07    0.42720E-05   -0.44070E-06
   578    0.22824E+04    0.13980E+02    0.67998E-03    0.28135E+02    0.13935E-07    0.43148E-05   -0.45445E-06
   579    0.22744E+04    0.14240E+02    0.67809E-03    0.28539E+02    0.13896E-07    0.43581E-05   -0.46812E-06
   580    0.22662E+04    0.14503E+02    0.67615E-03    0.28912E+02    0.13856E-07    0.44020E-05   -0.48171E-06
   581    0.22578E+04    0.14768E+02    0.67416E-03    0.29255E+02    0.13818E-07    0.44465E-05   -0.49521E-06
   582    0.22494E+04    0.15037E+02    0.67213E-03    0.29568E+02    0.13779E-07    0.44916E-05   -0.50864E-06
   583    0.22410E+04    0.15308E+02    0.67005E-03    0.29848E+02    0.13740E-07    0.45372E-05   -0.52197E-06
   584    0.22325E+04    0.15581E+02    0.66792E-03    0.30098E+02    0.13702E-07    0.45834E-05   -0.53521E-06
   585    0.22240E+04    0.15858E+02    0.66574E-03    0.30316E+02    0.13663E-07    0.46300E-05   -0.54836E-06
   586    0.22153E+04    0.16135E+02    0.66352E-03    0.30502E+02    0.13625E-07    0.46772E-05   -0.56142E-06
   587    0.22066E+04    0.16416E+02    0.66124E-03    0.30657E+02    0.13587E-07    0.47249E-05   -0.57438E-06
   588    0.21978E+04    0.16699E+02    0.65893E-03    0.30778E+02    0.13549E-07    0.47731E-05   -0.58724E-06
   589    0.21890E+04    0.16984E+02    0.65656E-03    0.30868E+02    0.13512E-07    0.48218E-05   -0.60000E-06
   590    0.21801E+04    0.17271E+02    0.65415E-03    0.30926E+02    0.13474E-07    0.48710E-05   -0.61265E-06
   591    0.21712E+04    0.17560E+02    0.65169E-03    0.30950E+02    0.13437E-07    0.49206E-05   -0.62521E-06
   592    0.21623E+04    0.17850E+02    0.64918E-03    0.30941E+02    0.13399E-07    0.49706E-05   -0.63765E-06
   593    0.21533E+04    0.18142E+02    0.64663E-03    0.30901E+02    0.13362E-07    0.50211E-05   -0.64998E-06
   594    0.21442E+04    0.18436E+02    0.64404E-03    0.30827E+02    0.13325E-07    0.50720E-05   -0.66220E-06
   595    0.21352E+04    0.18730E+02    0.64140E-03    0.30720E+02    0.13289E-07    0.51234E-05   -0.67431E-06
   596    0.21262E+04    0.19027E+02    0.63871E-03    0.30579E+02    0.13252E-07    0.51751E-05   -0.68630E-06
   597    0.21171E+04    0.19323E+02    0.63598E-03    0.30406E+02    0.13215E-07    0.52272E-05   -0.69817E-06
   598    0.21083E+04    0.19621E+02    0.63320E-03    0.30200E+02    0.13179E-07    0.52796E-05   -0.70992E-06
   599    0.20993E+04    0.19920E+02    0.63038E-03    0.29961E+02    0.13143E-07    0.53325E-05   -0.72155E-06
   600    0.20903E+04    0.20220E+02    0.62752E-03    0.29688E+02    0.13107E-07    0.53857E-05   -0.73305E-06
   601    0.20812E+04    0.20521E+02    0.62461E-03    0.29382E+02    0.13071E-07    0.54392E-05   -0.74443E-06
   602    0.20722E+04    0.20821E+02    0.62166E-03    0.29043E+02    0.13035E-07    0.54930E-05   -0.75567E-06
   603    0.20632E+04    0.21123E+02    0.61867E-03    0.28672E+02    0.12999E-07    0.55472E-05   -0.76679E-06
   604    0.20543E+04    0.21424E+02    0.61565E-03    0.28267E+02    0.12964E-07    0.56017E-05   -0.77778E-06
   605    0.20454E+04    0.21726E+02    0.61259E-03    0.27830E+02    0.12929E-07    0.56564E-05   -0.78864E-06
   606    0.20366E+04    0.22027E+02    0.60949E-03    0.27359E+02    0.12893E-07    0.57115E-05   -0.79937E-06
   607    0.20275E+04    0.22329E+02    0.60637E-03    0.26857E+02    0.12858E-07    0.57668E-05   -0.80997E-06
   608    0.20187E+04    0.22631E+02    0.60322E-03    0.26321E+02    0.12823E-07    0.58223E-05   -0.82044E-06
   609    0.20101E+04    0.22932E+02    0.60005E-03    0.25753E+02    0.12788E-07    0.58781E-05   -0.83078E-06
   610    0.20013E+04    0.23232E+02    0.59685E-03    0.25153E+02    0.12754E-07    0.59342E-05   -0.84098E-06
   611    0.19927E+04    0.23532E+02    0.59363E-03    0.24521E+02    0.12719E-07    0.59904E-05   -0.85106E-06
   612    0.19841E+04    0.23833E+02    0.59039E-03    0.23858E+02    0.12685E-07    0.60469E-05   -0.86100E-06
   613    0.19755E+04    0.24130E+02    0.58714E-03    0.23162E+02    0.12651E-07    0.61035E-05   -0.87081E-06
   614    0.19670E+04    0.24427E+02    0.58388E-03    0.22434E+02    0.12616E-07    0.61603E-05   -0.88048E-06
   615    0.19586E+04    0.24723E+02    0.58060E-03    0.21676E+02    0.12582E-07    0.62173E-05   -0.89003E-06
   616    0.19503E+04    0.25019E+02    0.57732E-03    0.20888E+02    0.12549E-07    0.62745E-05   -0.89943E-06
   617    0.19421E+04    0.25314E+02    0.57403E-03    0.20069E+02    0.12515E-07    0.63318E-05   -0.90871E-06
   618    0.19340E+04    0.25608E+02    0.57073E-03    0.19218E+02    0.12481E-07    0.63892E-05   -0.91784E-06
   619    0.19258E+04    0.25901E+02    0.56744E-03    0.18340E+02    0.12448E-07    0.64468E-05   -0.92685E-06
   620    0.19179E+04    0.26190E+02    0.56414E-03    0.17431E+02    0.12415E-07    0.65045E-05   -0.93571E-06
   621    0.19100E+04    0.26479E+02    0.56085E-03    0.16493E+02    0.12381E-07    0.65622E-05   -0.94444E-06
   622    0.19022E+04    0.26766E+02    0.55756E-03    0.15525E+02    0.12348E-07    0.66201E-05   -0.95303E-06
   623    0.18946E+04    0.27050E+02    0.55428E-03    0.14531E+02    0.12315E-07    0.66780E-05   -0.96149E-06
   624    0.18870E+04    0.27333E+02    0.55101E-03    0.13507E+02    0.12282E-07    0.67360E-05   -0.96981E-06
   625    0.18795E+04    0.27613E+02    0.54776E-03    0.12456E+02    0.12250E-07    0.67940E-05   -0.97799E-06
   626    0.18721E+04    0.27891E+02    0.54452E-03    0.11377E+02    0.12217E-07    0.68521E-05   -0.98603E-06
   627    0.18649E+04    0.28167E+02    0.54129E-03    0.10271E+02    0.12185E-07    0.69102E-05   -0.99393E-06
   628    0.18578E+04    0.28440E+02    0.53809E-03    0.91388E+01    0.12153E-07    0.69683E-05   -0.10017E-05
   629    0.18509E+04    0.28710E+02    0.53491E-03    0.79804E+01    0.12120E-07    0.70264E-05   -0.10093E-05
   630    0.18440E+04    0.28978E+02    0.53175E-03    0.67954E+01    0.12088E-07    0.70845E-05   -0.10168E-05
   631    0.18372E+04    0.29242E+02    0.52862E-03    0.55867E+01    0.12056E-07    0.71426E-05   -0.10241E-05
   632    0.18307E+04    0.29504E+02    0.52551E-03    0.43523E+01    0.12025E-07    0.72007E-05   -0.10313E-05
   633    0.18242E+04    0.29763E+02    0.52244E-03    0.30944E+01    0.11993E-07    0.72587E-05   -0.10384E-05
   634    0.18179E+04    0.30018E+02    0.51941E-03    0.18130E+01    0.11961E-07    0.73166E-05   -0.10453E-05
   635    0.18118E+04    0.30270E+02    0.51641E-03    0.50866E+00    0.11930E-07    0.73745E-05   -0.10521E-05
   636    0.18057E+04    0.30520E+02    0.51344E-03   -0.81793E+00    0.11899E-07    0.74323E-05   -0.10587E-05
   637    0.17999E+04    0.30764E+02    0.51052E-03   -0.21673E+01    0.11867E-07    0.74900E-05   -0.10652E-05
   638    0.17941E+04    0.31006E+02    0.50765E-03   -0.35372E+01    0.11836E-07    0.75476E-05   -0.10715E-05
   639    0.17886E+04    0.31244E+02    0.50481E-03   -0.49286E+01    0.11805E-07    0.76050E-05   -0.10777E-05
   640    0.17832E+04    0.31479E+02    0.50203E-03   -0.63397E+01    0.11775E-07    0.76624E-05   -0.10838E-05
   641    0.17780E+04    0.31709E+02    0.49929E-03   -0.77706E+01    0.11744E-07    0.77196E-05   -0.10897E-05
   642    0.17728E+04    0.31935E+02    0.49661E-03   -0.92204E+01    0.11713E-07    0.77766E-05   -0.10954E-05
   643    0.17679E+04    0.32158E+02    0.49399E-03   -0.10689E+02    0.11683E-07    0.78335E-05   -0.11011E-05
   644    0.17633E+04    0.32375E+02    0.49142E-03   -0.12174E+02    0.11652E-07    0.78902E-05   -0.11065E-05
   645    0.17587E+04    0.32588E+02    0.48891E-03   -0.13677E+02    0.11622E-07    0.79467E-05   -0.11118E-05
   646    0.17542E+04    0.32797E+02    0.48646E-03   -0.15197E+02    0.11592E-07    0.80030E-05   -0.11170E-05
   647    0.17501E+04    0.33001E+02    0.48408E-03   -0.16733E+02    0.11562E-07    0.80591E-05   -0.11220E-05
   648    0.17460E+04    0.33202E+02    0.48176E-03   -0.18283E+02    0.11532E-07    0.81150E-05   -0.11269E-05
   649    0.17422E+04    0.33396E+02    0.47952E-03   -0.19848E+02    0.11502E-07    0.81706E-05   -0.11316E-05
   650    0.17385E+04    0.33586E+02    0.47734E-03   -0.21427E+02    0.11473E-07    0.82260E-05   -0.11362E-05
   651    0.17350E+04    0.33773E+02    0.47524E-03   -0.23019E+02    0.11443E-07    0.82811E-05   -0.11407E-05
   652    0.17317E+04    0.33953E+02    0.47321E-03   -0.24623E+02    0.11414E-07    0.83359E-05   -0.11449E-05
   653    0.17286E+04    0.34128E+02    0.47125E-03   -0.26239E+02    0.11384E-07    0.83905E-05   -0.11491E-05
   654    0.17256E+04    0.34299E+02    0.46936E-03   -0.27865E+02    0.11355E-07    0.84448E-05   -0.11530E-05
   655    0.17228E+04    0.34464E+02    0.46753E-03   -0.29503E+02    0.11326E-07    0.84988E-05   -0.11569E-05
   656    0.17203E+04    0.34624E+02    0.46578E-03   -0.31150E+02    0.11297E-07    0.85525E-05   -0.11606E-05
   657    0.17180E+04    0.34779E+02    0.46408E-03   -0.32805E+02    0.11268E-07    0.86060E-05   -0.11641E-05
   658    0.17157E+04    0.34929E+02    0.46245E-03   -0.34469E+02    0.11239E-07    0.86591E-05   -0.11675E-05
   659    0.17138E+04    0.35074E+02    0.46088E-03   -0.36141E+02    0.11211E-07    0.87119E-05   -0.11707E-05
   660    0.17120E+04    0.35212E+02    0.45937E-03   -0.37819E+02    0.11182E-07    0.87644E-05   -0.11738E-05
   661    0.17104E+04    0.35345E+02    0.45792E-03   -0.39503E+02    0.11154E-07    0.88166E-05   -0.11768E-05
   662    0.17091E+04    0.35473E+02    0.45652E-03   -0.41193E+02    0.11125E-07    0.88685E-05   -0.11796E-05
   663    0.17079E+04    0.35596E+02    0.45518E-03   -0.42889E+02    0.11097E-07    0.89200E-05   -0.11822E-05
   664    0.17069E+04    0.35712E+02    0.45389E-03   -0.44588E+02    0.11069E-07    0.89712E-05   -0.11848E-05
   665    0.17060E+04    0.35822E+02    0.45265E-03   -0.46290E+02    0.11041E-07    0.90221E-05   -0.11871E-05
   666    0.17054E+04    0.35927E+02    0.45146E-03   -0.47995E+02    0.11013E-07    0.90726E-05   -0.11894E-05
   667    0.17050E+04    0.36026E+02    0.45032E-03   -0.49702E+02    0.10985E-07    0.91228E-05   -0.11914E-05
   668    0.17046E+04    0.36120E+02    0.44923E-03   -0.51411E+02    0.10957E-07    0.91727E-05   -0.11934E-05
   669    0.17047E+04    0.36208E+02    0.44817E-03   -0.53120E+02    0.10930E-07    0.92221E-05   -0.11952E-05
   670    0.17048E+04    0.36289E+02    0.44717E-03   -0.54827E+02    0.10902E-07    0.92712E-05   -0.11968E-05
   671    0.17052E+04    0.36366E+02    0.44620E-03   -0.56535E+02    0.10875E-07    0.93200E-05   -0.11984E-05
   672    0.17057E+04    0.36436E+02    0.44527E-03   -0.58241E+02    0.10848E-07    0.93683E-05   -0.11997E-05
   673    0.17064E+04    0.36501E+02    0.44439E-03   -0.59944E+02    0.10820E-07    0.94163E-05   -0.12010E-05
   674    0.17074E+04    0.36559E+02    0.44353E-03   -0.61644E+02    0.10793E-07    0.94639E-05   -0.12020E-05
   675    0.17085E+04    0.36611E+02    0.44272E-03   -0.63340E+02    0.10766E-07    0.95111E-05   -0.12030E-05
   676    0.17098E+04    0.36657E+02    0.44193E-03   -0.65031E+02    0.10739E-07    0.95579E-05   -0.12038E-05
   677    0.17113E+04    0.36698E+02    0.44118E-03   -0.66716E+02    0.10712E-07    0.96043E-05   -0.12045E-05
   678    0.17130E+04    0.36731E+02    0.44046E-03   -0.68396E+02    0.10686E-07    0.96503E-05   -0.12050E-05
   679    0.17149E+04    0.36760E+02    0.43977E-03   -0.70069E+02    0.10659E-07    0.96958E-05   -0.12054E-05
   680    0.17170E+04    0.36782E+02    0.43910E-03   -0.71734E+02    0.10633E-07    0.97410E-05   -0.12057E-05
   681    0.17193E+04    0.36798E+02    0.43846E-03   -0.73390E+02    0.10606E-07    0.97857E-05   -0.12058E-05
   682    0.17217E+04    0.36808E+02    0.43784E-03   -0.75038E+02    0.10580E-07    0.98300E-05   -0.12057E-05
   683    0.17244E+04    0.36812E+02    0.43724E-03   -0.76677E+02    0.10554E-07    0.98739E-05   -0.12056E-05
   684    0.17272E+04    0.36809E+02    0.43667E-03   -0.78305E+02    0.10527E-07    0.99173E-05   -0.12053E-05
   685    0.17302E+04    0.36801E+02    0.43611E-03   -0.79922E+02    0.10501E-07    0.99603E-05   -0.12049E-05
   686    0.17333E+04    0.36786E+02    0.43557E-03   -0.81520E+02    0.10476E-07    0.10003E-04   -0.12043E-05
   687    0.17367E+04    0.36766E+02    0.43504E-03   -0.83108E+02    0.10450E-07    0.10045E-04   -0.12036E-05
   688    0.17402E+04    0.36739E+02    0.43453E-03   -0.84686E+02    0.10424E-07    0.10086E-04   -0.12027E-05
   689    0.17439E+04    0.36706E+02    0.43403E-03   -0.86246E+02    0.10398E-07    0.10128E-04   -0.12018E-05
   690    0.17478E+04    0.36668E+02    0.43355E-03   -0.87794E+02    0.10373E-07    0.10168E-04   -0.12006E-05
   691    0.17518E+04    0.36622E+02    0.43307E-03   -0.89325E+02    0.10347E-07    0.10208E-04   -0.11994E-05
   692    0.17560E+04    0.36572E+02    0.43259E-03   -0.90837E+02    0.10322E-07    0.10248E-04   -0.11980E-05
   693    0.17604E+04    0.36515E+02    0.43213E-03   -0.92338E+02    0.10297E-07    0.10287E-04   -0.11965E-05
   694    0.17649E+04    0.36452E+02    0.43166E-03   -0.93813E+02    0.10271E-07    0.10326E-04   -0.11949E-05
   695    0.17696E+04    0.36385E+02    0.43120E-03   -0.95270E+02    0.10246E-07    0.10364E-04   -0.11931E-05
   696    0.17745E+04    0.36310E+02    0.43074E-03   -0.96724E+02    0.10221E-07    0.10402E-04   -0.11912E-05
   697    0.17795E+04    0.36230E+02    0.43028E-03   -0.98145E+02    0.10196E-07    0.10439E-04   -0.11891E-05
   698    0.17847E+04    0.36143E+02    0.42982E-03   -0.99547E+02    0.10171E-07    0.10476E-04   -0.11870E-05
   699    0.17899E+04    0.36052E+02    0.42935E-03   -0.10092E+03    0.10147E-07    0.10512E-04   -0.11847E-05
   700    0.17954E+04    0.35954E+02    0.42888E-03   -0.10228E+03    0.10122E-07    0.10548E-04   -0.11822E-05
   701    0.18010E+04    0.35850E+02    0.42840E-03   -0.10362E+03    0.10097E-07    0.10583E-04   -0.11797E-05
   702    0.18068E+04    0.35742E+02    0.42791E-03   -0.10493E+03    0.10073E-07    0.10618E-04   -0.11770E-05
   703    0.18127E+04    0.35627E+02    0.42742E-03   -0.10623E+03    0.10049E-07    0.10652E-04   -0.11741E-05
   704    0.18187E+04    0.35508E+02    0.42691E-03   -0.10750E+03    0.10024E-07    0.10685E-04   -0.11712E-05
   705    0.18248E+04    0.35382E+02    0.42640E-03   -0.10874E+03    0.10000E-07    0.10718E-04   -0.11681E-05
   706    0.18310E+04    0.35251E+02    0.42588E-03   -0.10996E+03    0.99758E-08    0.10750E-04   -0.11649E-05
   707    0.18374E+04    0.35115E+02    0.42535E-03   -0.11115E+03    0.99517E-08    0.10782E-04   -0.11616E-05
   708    0.18440E+04    0.34974E+02    0.42480E-03   -0.11231E+03    0.99278E-08    0.10813E-04   -0.11581E-05
   709    0.18506E+04    0.34828E+02    0.42425E-03   -0.11345E+03    0.99039E-08    0.10844E-04   -0.11546E-05
   710    0.18574E+04    0.34676E+02    0.42369E-03   -0.11456E+03    0.98801E-08    0.10874E-04   -0.11509E-05
   711    0.18643E+04    0.34519E+02    0.42311E-03   -0.11564E+03    0.98563E-08    0.10904E-04   -0.11471E-05
   712    0.18712E+04    0.34357E+02    0.42253E-03   -0.11671E+03    0.98327E-08    0.10932E-04   -0.11431E-05
   713    0.18784E+04    0.34190E+02    0.42193E-03   -0.11773E+03    0.98091E-08    0.10961E-04   -0.11391E-05
   714    0.18855E+04    0.34019E+02    0.42132E-03   -0.11873E+03    0.97856E-08    0.10988E-04   -0.11349E-05
   715    0.18928E+04    0.33843E+02    0.42070E-03   -0.11970E+03    0.97622E-08    0.11015E-04   -0.11306E-05
   716    0.19003E+04    0.33661E+02    0.42006E-03   -0.12065E+03    0.97389E-08    0.11042E-04   -0.11262E-05
   717    0.19078E+04    0.33476E+02    0.41941E-03   -0.12155E+03    0.97157E-08    0.11068E-04   -0.11217E-05
   718    0.19153E+04    0.33286E+02    0.41875E-03   -0.12244E+03    0.96925E-08    0.11093E-04   -0.11170E-05
   719    0.19230E+04    0.33090E+02    0.41807E-03   -0.12328E+03    0.96695E-08    0.11117E-04   -0.11123E-05
   720    0.19306E+04    0.32891E+02    0.41738E-03   -0.12410E+03    0.96465E-08    0.11141E-04   -0.11074E-05
   721    0.19386E+04    0.32688E+02    0.41667E-03   -0.12488E+03    0.96235E-08    0.11165E-04   -0.11025E-05
   722    0.19464E+04    0.32480E+02    0.41595E-03   -0.12562E+03    0.96007E-08    0.11187E-04   -0.10974E-05
   723    0.19544E+04    0.32269E+02    0.41521E-03   -0.12634E+03    0.95779E-08    0.11209E-04   -0.10922E-05
   724    0.19624E+04    0.32054E+02    0.41445E-03   -0.12703E+03    0.95553E-08    0.11230E-04   -0.10869E-05
   725    0.19705E+04    0.31835E+02    0.41368E-03   -0.12769E+03    0.95327E-08    0.11251E-04   -0.10815E-05
   726    0.19787E+04    0.31614E+02    0.41289E-03   -0.12830E+03    0.95101E-08    0.11271E-04   -0.10760E-05
   727    0.19868E+04    0.31387E+02    0.41208E-03   -0.12889E+03    0.94877E-08    0.11290E-04   -0.10703E-05
   728    0.19951E+04    0.31156E+02    0.41126E-03   -0.12944E+03    0.94653E-08    0.11309E-04   -0.10646E-05
   729    0.20034E+04    0.30922E+02    0.41042E-03   -0.12996E+03    0.94430E-08    0.11327E-04   -0.10588E-05
   730    0.20116E+04    0.30686E+02    0.40956E-03   -0.13044E+03    0.94208E-08    0.11344E-04   -0.10529E-05
   731    0.20201E+04    0.30444E+02    0.40868E-03   -0.13089E+03    0.93987E-08    0.11360E-04   -0.10468E-05
   732    0.20285E+04    0.30202E+02    0.40778E-03   -0.13129E+03    0.93766E-08    0.11376E-04   -0.10407E-05
   733    0.20370E+04    0.29956E+02    0.40686E-03   -0.13168E+03    0.93546E-08    0.11391E-04   -0.10345E-05
   734    0.20455E+04    0.29707E+02    0.40592E-03   -0.13201E+03    0.93327E-08    0.11405E-04   -0.10281E-05
   735    0.20540E+04    0.29454E+02    0.40496E-03   -0.13232E+03    0.93109E-08    0.11419E-04   -0.10217E-05
   736    0.20624E+04    0.29199E+02    0.40398E-03   -0.13258E+03    0.92891E-08    0.11432E-04   -0.10152E-05
   737    0.20710E+04    0.28942E+02    0.40298E-03   -0.13282E+03    0.92674E-08    0.11444E-04   -0.10085E-05
   738    0.20794E+04    0.28684E+02    0.40196E-03   -0.13301E+03    0.92458E-08    0.11455E-04   -0.10018E-05
   739    0.20879E+04    0.28422E+02    0.40091E-03   -0.13317E+03    0.92242E-08    0.11466E-04   -0.99502E-06
   740    0.20964E+04    0.28158E+02    0.39985E-03   -0.13329E+03    0.92027E-08    0.11476E-04   -0.98811E-06
   741    0.21050E+04    0.27890E+02    0.39876E-03   -0.13338E+03    0.91813E-08    0.11485E-04   -0.98111E-06
   742    0.21135E+04    0.27624E+02    0.39764E-03   -0.13343E+03    0.91600E-08    0.11493E-04   -0.97402E-06
   743    0.21220E+04    0.27356E+02    0.39650E-03   -0.13344E+03    0.91387E-08    0.11501E-04   -0.96684E-06
   744    0.21305E+04    0.27085E+02    0.39534E-03   -0.13341E+03    0.91175E-08    0.11508E-04   -0.95957E-06
   745    0.21390E+04    0.26813E+02    0.39416E-03   -0.13336E+03    0.90964E-08    0.11513E-04   -0.95221E-06
   746    0.21473E+04    0.26540E+02    0.39295E-03   -0.13325E+03    0.90754E-08    0.11519E-04   -0.94476E-06
   747    0.21557E+04    0.26265E+02    0.39171E-03   -0.13312E+03    0.90544E-08    0.11523E-04   -0.93723E-06
   748    0.21640E+04    0.25990E+02    0.39045E-03   -0.13295E+03    0.90335E-08    0.11527E-04   -0.92961E-06
   749    0.21724E+04    0.25712E+02    0.38917E-03   -0.13275E+03    0.90126E-08    0.11529E-04   -0.92191E-06
   750    0.21806E+04    0.25434E+02    0.38785E-03   -0.13251E+03    0.89918E-08    0.11531E-04   -0.91412E-06
   751    0.21889E+04    0.25156E+02    0.38651E-03   -0.13223E+03    0.89711E-08    0.11533E-04   -0.90625E-06
   752    0.21971E+04    0.24878E+02    0.38515E-03   -0.13191E+03    0.89505E-08    0.11533E-04   -0.89830E-06
   753    0.22052E+04    0.24598E+02    0.38376E-03   -0.13156E+03    0.89299E-08    0.11532E-04   -0.89027E-06
